ENTITETI;LIGA;UTAKMICA;EKIPA;PN1;PN2;VN1;VN2;IN1;IN2;BD;TN;VZA;IU
1276;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;2;11;BIBL;POBJEDA
1277;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;TN;TN-R;NEG;NEG-OPN;2;11;LIPK;PORAZ
1278;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PO;ON;ON;NEU;NEU-IOP-NN;2;7;OA;POBJEDA
1279;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PN;PN;PN-CC;NEG;NEG-IPL-LI;5;16;BOT;POBJEDA
1280;EURO;PAN-CAJ;Caja Laboral;OL;OL-UL;TN;TN-S;NEU;NEU-NS2-ZPL;1;8;TRA;PORAZ
1281;EURO;PAN-CAJ;Caja Laboral;OL;OL-SN-SI;ON;ON;NEG;NEG-NS3-IPL;2;5;BOT;PORAZ
1282;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS3-ZPL;2;18;P&R;POBJEDA
1283;EURO;PAN-CAJ;Panathinaicos;OL;OL-SN-SI;PN;PN-CC;POZ;POZ-US2;3;16;LIPK;POBJEDA
1284;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LS;5;19;OA;PORAZ
1285;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;5;21;LEPK;POBJEDA
1286;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;TN;TN-S;POZ;POZ-US2;1;9;TRA;PORAZ
1287;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;3;17;P&R;POBJEDA
1288;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;TN;TN-P;NEU;NEU-NS2-ZPL;2;6;TRA;PORAZ
1289;EURO;PAN-CAJ;Caja Laboral;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;2;SSN;PORAZ
1290;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;2;13;BIBL;POBJEDA
1291;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;3;14;BOT;PORAZ
1292;EURO;PAN-CAJ;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;NEU;NEU-IOP-NN;3;11;OA;POBJEDA
1293;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PN;PN;PN-CC;NEG;NEG-NS3-IPL;3;11;BOT;POBJEDA
1294;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;TN;TN-R;NEG;NEG-IPL-LI;3;9;P&R;PORAZ
1295;EURO;PAN-CAJ;Panathinaicos;OL;OL-UL;ON;ON;NEU;NEU-IOP-NN;0;2;OA;POBJEDA
1296;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-NS2-IPL;3;17;OA;POBJEDA
1297;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;6;18;P&R;PORAZ
1298;EURO;PAN-CAJ;Panathinaicos;OL;OL-SO-SI;TN;TN-S;POZ;POZ-US2;3;7;TRA;POBJEDA
1299;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;4;14;P&R;PORAZ
1300;EURO;PAN-CAJ;Panathinaicos;OL;OL-UL;TN;TN-P;POZ;POZ-US2;3;4;TRA;POBJEDA
1301;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LS;7;24;BOT;PORAZ
1302;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US2;2;7;P&R;POBJEDA
1303;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;4;17;OT;PORAZ
1304;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US2;4;13;P&R;POBJEDA
1305;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;3;12;LIPK;PORAZ
1306;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;TN;TN-R;POZ;POZ-IOP-2/2;1;8;P&R;POBJEDA
1307;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;3;16;LIPK;PORAZ
1308;EURO;PAN-CAJ;Caja Laboral;UL;UL-BL-PN;ON;ON;NEG;NEG-NS3-IPL;4;21;OA;PORAZ
1309;EURO;PAN-CAJ;Panathinaicos;OL;OL-ISB;ON;ON;POZ;POZ-IOP-2/2;0;24;OA;POBJEDA
1310;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;4;16;P&R;PORAZ
1311;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PN;PN;PN-CC;POZ;POZ-US2;2;12;OA;PORAZ
1312;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;6;17;BOT;POBJEDA
1313;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;4;14;LEPK;PORAZ
1314;EURO;PAN-CAJ;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;NEU;NEU-NS3-ZPL;4;20;BOT;POBJEDA
1315;EURO;PAN-CAJ;Panathinaicos;OL;OL-SN-SI;ON;ON;NEG;NEG-NS2-IPL;0;1;SSN;POBJEDA
1316;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;ON;ON;NEU;NEU-ZC;0;1;OA;PORAZ
1317;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-SI;PN;PN-CC;NEG;NEG-NS3-IPL;6;16;BOT;POBJEDA
1318;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;4;19;LIPK;PORAZ
1319;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;6;23;BOT;POBJEDA
1320;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LS;5;18;LEPK;PORAZ
1321;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;5;14;BOT;POBJEDA
1322;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US3;1;14;P&R;PORAZ
1323;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;4;15;BOT;POBJEDA
1324;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;TN;TN-S;POZ;POZ-US3;1;7;TRA;PORAZ
1325;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;1;7;OA;POBJEDA
1326;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-IPL-LS;5;12;OA;POBJEDA
1327;EURO;PAN-CAJ;Caja Laboral;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;2;17;LIPK;PORAZ
1328;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US2;3;8;P&R;POBJEDA
1329;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;ON;ON;NEG;NEG-NS2-IPL;2;11;OA;PORAZ
1330;EURO;PAN-CAJ;Panathinaicos;OL;OL-UL;TN;TN-P;NEU;NEU-NS3-ZPL;2;5;TRA;POBJEDA
1331;EURO;PAN-CAJ;Panathinaicos;OL;OL-SN-SI;ON;ON;POZ;POZ-US2;0;1;SSN;POBJEDA
1332;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;ON;ON;POZ;POZ-IOP-2/2;5;21;BIBL;PORAZ
1333;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;4;13;LEPK;POBJEDA
1334;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;4;13;P&R;PORAZ
1335;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS2-ZPL;3;20;BOT;POBJEDA
1336;EURO;PAN-CAJ;Panathinaicos;OL;OL-SN-SI;ON;ON;POZ;POZ-IOP-1/2-ZN-IPL;0;1;SSN;POBJEDA
1337;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SL;PN;PN-CC;POZ;POZ-US2;5;21;BOT;PORAZ
1338;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;1;13;P&R;POBJEDA
1339;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-OPN;3;20;BOT;PORAZ
1340;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;3;15;BIBL;POBJEDA
1341;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;TN;TN-P;NEU;NEU-NS2-ZPL;1;5;TRA;PORAZ
1342;EURO;PAN-CAJ;Caja Laboral;OL;OL-SN-SI;ON;ON;NEG;NEG-NS2-IPL;0;1;SSN;PORAZ
1343;EURO;PAN-CAJ;Panathinaicos;OL;OL-SO-SI;TN;TN-P;POZ;POZ-US3;2;6;TRA;POBJEDA
1344;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;2;13;OT;PORAZ
1345;EURO;PAN-CAJ;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;4;21;BOT;POBJEDA
1346;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;4;20;BOT;PORAZ
1347;EURO;PAN-CAJ;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;2;13;BOT;POBJEDA
1348;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;TN;TN-P;POZ;POZ-US2;2;5;TRA;PORAZ
1349;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;TN;TN-R;NEG;NEG-NS2-IPL;2;9;LEPK;POBJEDA
1350;EURO;PAN-CAJ;Caja Laboral;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LS;3;18;OA;PORAZ
1351;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US3;4;15;P&R;POBJEDA
1352;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;TN;TN-R;NEU;NEU-IOP-NN;1;9;LIPK;PORAZ
1353;EURO;PAN-CAJ;Caja Laboral;UL;UL-BL-PN;PN;PN-CC;POZ;POZ-US3;4;19;BOT;PORAZ
1354;EURO;PAN-CAJ;Panathinaicos;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-IPL-LS;2;9;P&R;POBJEDA
1355;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;2;14;P&R;PORAZ
1356;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PN;PN;PN-CC;POZ;POZ-US2-US-SL;3;7;P&R;PORAZ
1357;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;1;9;LEPK;POBJEDA
1358;EURO;PAN-CAJ;Caja Laboral;UL;UL-BL-PN;PN;PN-CC;POZ;POZ-IOP-2/2;1;8;OA;PORAZ
1359;EURO;PAN-CAJ;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-IOP-2/2;2;15;P&R;POBJEDA
1360;EURO;PAN-CAJ;Caja Laboral;UL;UL-CL-PO;TN;TN-P;NEG;NEG-IOP-0/2-IPL;1;4;TRA;PORAZ
1361;EURO;PAN-MAC;Panathinaicos;OL;OL-PL;PN;PN-CC;NEG;NEG-NS2-IPL;3;10;P&R;POBJEDA
1362;EURO;PAN-MAC;Maccabi;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-IPL-LI;4;16;OA;PORAZ
1363;EURO;PAN-MAC;Panathinaicos;OL;OL-UL;TN;TN-P;POZ;POZ-US2;1;3;TRA;POBJEDA
1364;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;5;24;OA;PORAZ
1365;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;TN;TN-R;POZ;POZ-US2;1;9;P&R;POBJEDA
1366;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US3;4;16;BOT;PORAZ
1367;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;2;13;P&R;POBJEDA
1368;EURO;PAN-MAC;Maccabi;OL;OL-UL;ON;ON;NEG;NEG-NS2-IPL;3;7;OA;PORAZ
1369;EURO;PAN-MAC;Panathinaicos;OL;OL-UL;TN;TN-S;NEG;NEG-NS3-IPL;3;8;TRA;POBJEDA
1370;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;ON;ON;NEU;NEU-IOP-NN;0;1;OA;PORAZ
1371;EURO;PAN-MAC;Maccabi;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;4;15;LIPK;PORAZ
1372;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;4;11;BOT;POBJEDA
1373;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;2;8;OA;PORAZ
1374;EURO;PAN-MAC;Maccabi;UL;UL-BL-PN;ON;ON;NEG;NEG-NS3-IPL;2;4;P&R;PORAZ
1375;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;TN;TN-S;NEG;NEG-IPL-LI;1;6;TRA;POBJEDA
1376;EURO;PAN-MAC;Maccabi;OL;OL-UL;TN;TN-P;NEG;NEG-IPL-LS;0;3;TRA;PORAZ
1377;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-IPL-LI;5;12;OA;POBJEDA
1378;EURO;PAN-MAC;Maccabi;OL;OL-UL;ON;ON;NEU;NEU-IOP-NN;0;1;OA;PORAZ
1379;EURO;PAN-MAC;Maccabi;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US3;2;16;BOT;PORAZ
1380;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;2;14;LIPK;POBJEDA
1381;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;2;11;LEPK;PORAZ
1382;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;TN;TN-R;NEG;NEG-NS2-IPL;2;10;LEPK;POBJEDA
1383;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-IOP-2/2;2;9;OT;PORAZ
1384;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;4;17;P&R;POBJEDA
1385;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PN;PN;PN-CC;NEU;NEU-NS2-ZPL;3;7;LEPK;POBJEDA
1386;EURO;PAN-MAC;Panathinaicos;OL;OL-SN-SI;ON;ON;POZ;POZ-US2-US-SL;0;1;SSN;POBJEDA
1387;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS2-ZPL;1;18;P&R;PORAZ
1388;EURO;PAN-MAC;Maccabi;OL;OL-SN-SI;ON;ON;POZ;POZ-US3;2;6;BOT;PORAZ
1389;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-NS3-IPL;4;13;BOT;POBJEDA
1390;EURO;PAN-MAC;Maccabi;OL;OL-ISB;ON;ON;POZ;POZ-IOP-2/2;0;0;OA;PORAZ
1391;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-ZO;NEG;NEG-IPL-LS;8;17;LEPK;POBJEDA
1392;EURO;PAN-MAC;Maccabi;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;3;11;OT;PORAZ
1393;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;TN;TN-R;POZ;POZ-US2;2;6;P&R;POBJEDA
1394;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;7;22;OA;PORAZ
1395;EURO;PAN-MAC;Panathinaicos;OL;OL-UL;TN;TN-P;POZ;POZ-US2;0;3;TRA;POBJEDA
1396;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;2;13;BOT;PORAZ
1397;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2-US-SL;3;15;P&R;POBJEDA
1398;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS2-ZPL;2;10;P&R;PORAZ
1399;EURO;PAN-MAC;Maccabi;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-OPN;4;6;OA;PORAZ
1400;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;6;20;BOT;POBJEDA
1401;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;2;10;OT;PORAZ
1402;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;3;11;P&R;POBJEDA
1403;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;5;16;OA;PORAZ
1404;EURO;PAN-MAC;Panathinaicos;OL;OL-UL;PN;PN-CC;POZ;POZ-US2;3;19;P&R;POBJEDA
1405;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;3;17;LEPK;PORAZ
1406;EURO;PAN-MAC;Panathinaicos;OL;OL-UL;PN;PN-CC;NEG;NEG-NS3-ZNC;3;22;BOT;POBJEDA
1407;EURO;PAN-MAC;Maccabi;UL;UL-BL-SI;PN;PN-CC;NEG;NEG-NS2-IPL;3;11;LIPK;PORAZ
1408;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;ON;ON;NEG;NEG-IPL-LI;1;11;OA;POBJEDA
1409;EURO;PAN-MAC;Maccabi;OL;OL-UL;TN;TN-P;POZ;POZ-US3;2;3;TRA;PORAZ
1410;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;6;24;OT;POBJEDA
1411;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;NEG;NEG-NS2-IPL;1;8;OT;PORAZ
1412;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;NEU;NEU-IOP-NN;1;13;P&R;POBJEDA
1413;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PN;PN;PN-ZO;POZ;POZ-US3;4;9;BOT;POBJEDA
1414;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;4;14;P&R;PORAZ
1415;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-ZO;NEU;NEU-IOP-NN;5;15;OA;POBJEDA
1416;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PN;PN;PN-ZO;NEG;NEG-NS2-IPL;6;10;P&R;POBJEDA
1417;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;2;12;BOT;PORAZ
1418;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-ZO;NEU;NEU-IOP-NN;4;16;LEPK;POBJEDA
1419;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PN;PN;PN-ZO;NEU;NEU-IOP-NN;1;8;P&R;POBJEDA
1420;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PN;PN;PN-ZO;NEG;NEG-NS3-IPL;3;8;BOT;POBJEDA
1421;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;TN;TN-S;NEG;NEG-NS3-IPL;0;5;TRA;PORAZ
1422;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US2;4;23;LIPK;POBJEDA
1423;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;6;23;LIPK;PORAZ
1424;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LI;6;15;P&R;POBJEDA
1425;EURO;PAN-MAC;Maccabi;OL;OL-UL;TN;TN-S;NEU;NEU-IOP-NN;1;4;TRA;PORAZ
1426;EURO;PAN-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;NEU;NEU-NS2-ZPL;4;14;BOT;PORAZ
1427;EURO;PAN-MAC;Maccabi;OL;OL-SN-SI;ON;ON;NEU;NEU-NS3-ZPL;0;4;OA;PORAZ
1428;EURO;PAN-MAC;Maccabi;UL;UL-CL-PN;PN;PN-ZO;NEG;NEG-NS2-IPL;2;17;P&R;PORAZ
1429;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;PN;PN-ZO;POZ;POZ-US2;4;14;OT;POBJEDA
1430;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-IOP-NN;2;18;OT;PORAZ
1431;EURO;PAN-MAC;Maccabi;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-IPL-LS;3;11;OA;PORAZ
1432;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PO;PN;PN-ZO;NEG;NEG-OPN;2;12;OA;POBJEDA
1433;EURO;PAN-MAC;Maccabi;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US3;4;16;BOT;PORAZ
1434;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS3-ZPL;4;14;OT;POBJEDA
1435;EURO;PAN-MAC;Panathinaicos;OL;OL-SN-SI;PN;PN-CC;POZ;POZ-US2;4;17;OT;POBJEDA
1436;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;5;21;BOT;PORAZ
1437;EURO;PAN-MAC;Panathinaicos;OL;OL-ISB;ON;ON;NEU;NEU-IOP-0/2-ZPL;0;0;OA;POBJEDA
1438;EURO;PAN-MAC;Panathinaicos;OL;OL-SN-SL;ON;ON;NEU;NEU-NS2-ZPL;0;1;SSN;POBJEDA
1439;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PN;PN;PN-CC;NEG;NEG-NS3-IPL;1;10;P&R;POBJEDA
1440;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;NEG;NEG-NS2-IPL;3;10;BOT;PORAZ
1441;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-IPL-LS;3;15;BOT;POBJEDA
1442;EURO;PAN-MAC;Maccabi;UL;UL-BL-PO;TN;TN-R;POZ;POZ-US3;4;11;BOT;PORAZ
1443;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-ZO;POZ;POZ-US2;5;16;BOT;POBJEDA
1444;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEU;NEU-NS2-ZPL;2;20;LIPK;PORAZ
1445;EURO;PAN-MAC;Maccabi;UL;UL-CL-PN;ON;ON;NEU;NEU-NS3-ZPL;1;1;OA;PORAZ
1446;EURO;PAN-MAC;Maccabi;OL;OL-SN-SI;ON;ON;NEG;NEG-NS2-IPL;1;1;SSN;PORAZ
1447;EURO;PAN-MAC;Panathinaicos;OL;OL-UL;PN;PN-CC;NEG;NEG-NS2-ZNC;4;23;OT;POBJEDA
1448;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-SI;PN;PN-CC;NEG;NEG-NS2-IPL;5;17;BOT;POBJEDA
1449;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;TN;TN-R;NEG;NEG-IPL-LI;1;11;P&R;PORAZ
1450;EURO;PAN-MAC;Panathinaicos;OL;OL-UL;PN;PN-CC;POZ;POZ-US2;7;16;P&R;POBJEDA
1451;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;TN;TN-R;POZ;POZ-US2;1;10;P&R;PORAZ
1452;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS2-IPL;3;23;OA;POBJEDA
1453;EURO;PAN-MAC;Maccabi;OL;OL-UL;TN;TN-P;NEU;NEU-NS2-ZPL;1;5;TRA;PORAZ
1454;EURO;PAN-MAC;Maccabi;OL;OL-SN-SI;PN;PN-CC;NEU;NEU-IOP-NN;2;13;LEPK;PORAZ
1455;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PN;PN;PN-CC;POZ;POZ-IOP-2/2;5;8;BOT;POBJEDA
1456;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LS;5;20;OA;POBJEDA
1457;EURO;PAN-MAC;Maccabi;UL;UL-BL-PO;PN;PN-CC;POZ;POZ-US2;2;8;LEPK;PORAZ
1458;EURO;PAN-MAC;Panathinaicos;UL;UL-CL-PO;PN;PN-CC;POZ;POZ-US2;2;17;P&R;POBJEDA
1459;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-IPL-LS;4;15;OA;PORAZ
1460;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PO;ON;ON;NEU;NEU-IOP-NN;2;7;OA;POBJEDA
1461;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PN;ON;ON;NEU;NEU-NS3-ZPL;2;4;OA;POBJEDA
1462;EURO;PAN-MAC;Panathinaicos;OL;OL-SN-SI;PN;PN-CC;NEG;NEG-NS3-IPL;6;19;BOT;POBJEDA
1463;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS3-IPL;3;11;BOT;PORAZ
1464;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;ON;ON;NEU;NEU-IOP-NN;1;2;OA;POBJEDA
1465;EURO;PAN-MAC;Panathinaicos;UL;UL-BL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;3;6;BOT;POBJEDA
1466;EURO;PAN-MAC;Maccabi;OL;OL-SO-SI;PN;PN-CC;NEG;NEG-NS2-IPL;2;11;OT;PORAZ
1467;EURO;PAN-MAC;Panathinaicos;OL;OL-SO-SI;PN;PN-CC;POZ;POZ-US3;2;10;BOT;POBJEDA
1468;EURO;PAN-MAC;Maccabi;UL;UL-CL-PO;PN;PN-CC;NEG;NEG-NS3-IPL;2;15;BIBL;PORAZ
